municipio,marca,grupo,longitude,latitude
IVINHEMA,Case,Agricase,-53.82772526,-22.30932699
MARACAJU,Case,Agricase,-55.16357659,-21.62708043
RIO BRILHANTE,Case,Agricase,-54.34108523,-21.56027733
DOURADOS,Case,Agricase,-54.80685379,-22.22823316
NOVA ANDRADINA,Case,Agricase,-53.13199062,-21.99441628
CVD,Stara,Agr cola Betiato,-55.16048094,-15.54786226
CANARANA,Case,Agritex,-52.24251722,-13.41022022
AGUA BOA,Case,Agritex,-52.13068643,-13.90735923
GAUCHA DO NORTE,Case,Agritex,-53.22430025,-13.02422672
QUERENCIA,Case,Agritex,-52.16993556,-12.41477236
SINOP,John Deere,Agro Baggio,-55.48952671,-11.84418882
LUCAS DO RIO VERDE,John Deere,Agro Baggio,-55.93103991,-13.07175856
BOA ESPERANCA,John Deere,Agro Baggio,-55.15406381,-13.50811753
TAPURAH,John Deere,Agro Baggio,-56.51553,-12.73919
SORRISO,John Deere,Agro Baggio,-55.71417268,-12.35649785
NOVA MUTUM,John Deere,Agro Baggio,-56.08483114,-13.720595
FELIZ NATAL,John Deere,Agro Baggio,-54.95001684,-12.37719617
ROO,Khun,Agro fito,-54.65132526,-16.50955208
PVA,Case,Agro fito,-54.29220002,-15.53873139
CVD,Case,Agro fito,-55.16630895,-15.54609606
PAR,Case,Agro fito,-54.05325432,-14.42747479
ROO,Case,Agro fito,-54.66003733,-16.45985384
SINOP,Massey Ferguson,Agro Oeste,-55.50045512,-11.87805871
CHS,Jacto,Agro Trevo,-52.61507381,-18.79715802
SAO GABRIEL DO OESTE,Jacto,Agro Trevo,-54.57304641,-19.39120765
CHC,Jacto,Agrovale,-52.65735045,-18.39719522
NOVA MUTUM,New Holland,Amazonia MAQS,-56.08823638,-13.83114552
LUCAS DO RIO VERDE,New Holland,Amazonia MAQS,-55.84731791,-12.85163308
SORRISO,New Holland,Amazonia MAQS,-55.72765464,-12.56681562
SINOP,New Holland,Amazonia MAQS,-55.50329134,-11.88802196
NOVA MUTUM,Case,Araguaia,-56.088066,-13.82333544
SINOP,Case,Araguaia,-55.45798771,-11.63692501
SORRISO,Case,Araguaia,-55.72375661,-12.5464604
LUCAS DO RIO VERDE,Case,Araguaia,-55.89655583,-12.92074097
JALES,Massey Ferguson,Arakaki,-50.55258976,-20.26832119
ITURAMA,Massey Ferguson,Arakaki,-50.16999536,-19.58855475
ALTO TAQUARI,New Holland,Armazem Gerais Paraiso,-53.28210243,-17.82714435
MINEIROS,New Holland,Armazem Gerais Paraiso,-52.54801494,-17.57610567
SAO GABRIEL DO OESTE,John Deere,Aster Maquinas,-54.58627323,-19.38869116
SIDROLANDIA,John Deere,Aster Maquinas,-54.95497654,-20.92612225
BARRA DO BUGRES,John Deere,Aster Maquinas,-57.19822612,-15.04692108
TANGARA DA SERRA,John Deere,Aster Maquinas,-57.52921671,-14.62965631
CAMPO GRANDE,John Deere,Aster Maquinas,-54.57281831,-20.4167101
CHS,Case,BTG,-52.55899327,-18.724189
SON,Case,BTG,-54.52944681,-19.27160576
CAMPO GRANDE,Case,BTG,-54.56488166,-20.40060624
SIDROLANDIA,Case,BTG,-54.94046013,-20.90957855
ACREUNA,New Holland,Capau Tratores,-50.37643157,-17.39406643
RVD,New Holland,Carpal,-50.9050833,-17.78579578
JUSSARA,John Deere,Casa do Pica-Pau,-50.86496494,-15.87525092
ACREUNA,John Deere,Casa do Pica-Pau,-50.37974605,-17.39067541
QUIRINOPOLIS,Case,CaseQuirinopolis,-50.42811735,-18.31219284
PRES. PRUDENTE,Case,Central Maquinas,-51.40281641,-22.12869702
ROO,Massey Ferguson,Centro Oeste,-54.64999895,-16.50749128
NOVA ANDRADINA,John Deere,Ciarama M quinas,-53.18593754,-21.95187004
NAVIRA ,John Deere,Ciarama M quinas,-54.19483555,-23.07327496
ELDORADO,John Deere,Ciarama M quinas,-54.41449576,-23.40232138
AMAMBAI,John Deere,Ciarama M quinas,-55.34333088,-22.74241918
LAGUNA CARAPA,John Deere,Ciarama M quinas,-55.25885833,-22.21217135
PONTA PORA,John Deere,Ciarama M quinas,-55.79965345,-22.23679044
CAMPO GRANDE,Jacto,COAMO,-54.5509174,-20.19958641
MARACAJU,Jacto,COAMO,-55.16349345,-21.63126935
RIO BRILHANTE,John Deere,Comid M quinas,-54.63759443,-21.51131112
QUIRINOPOLIS,Massey Ferguson,Coopercitrus,-50.42532353,-18.31328063
ANDRADINA,John Deere,D.Carvalho,-51.30614977,-20.7073824
AURIFLAMA,John Deere,D.Carvalho,-50.58092834,-20.64498725
DRACENA,John Deere,D.Carvalho,-51.53955548,-21.48993258
SIDROLANDIA,Jacto,Datta,-54.95768841,-20.93390329
ANDRADINA,Massey Ferguson,Disma,-51.24920866,-20.73614908
PRES. PRUDENTE,Massey Ferguson,Disma,-51.376669,-22.16311539
PVA,Jacto,Erosaine M quinas,-54.34738264,-15.57694942
JTI,Stara,Evolu  o Agr cola,-51.72433179,-17.90870022
TRL,John Deere,Florestal,-51.68234831,-20.79724483
ROO,Jacto,Gui M quinas,-54.65943822,-16.46091604
PVA,Massey Ferguson,Guimaraes Agricola,-54.30272858,-15.54458554
CVD,Massey Ferguson,Guimaraes Agricola,-55.17314407,-15.56092104
PAR,Massey Ferguson,Guimaraes Agricola,-54.02411468,-14.33746431
LUCAS DO RIO VERDE,Massey Ferguson,Guimaraes Agricola,-55.8873578,-12.90482321
SORRISO,Massey Ferguson,Guimaraes Agricola,-55.72096061,-12.56188777
TAPURAH,Massey Ferguson,Guimaraes Agricola,-55.11437023,-10.59801031
TRL,John Deere,Iguacu Maquinas,-51.68831791,-20.65689426
RVD,John Deere,Iguacu Maquinas,-50.89838185,-17.64053645
PVA,John Deere,Iguacu Maquinas,-54.27170923,-15.48191446
SON,John Deere,Iguacu Maquinas,-54.74684876,-17.59200551
PAR,John Deere,Iguacu Maquinas,-54.03437694,-14.36333726
PVA,John Deere,Iguacu Maquinas,-54.29552278,-15.54187264
ROO,John Deere,Iguacu Maquinas,-54.64576782,-16.50553912
CVD,John Deere,Iguacu Maquinas,-55.15213899,-15.54635179
CHS,John Deere,Iguacu Maquinas,-52.60437398,-18.73804931
CHC,John Deere,Iguacu Maquinas,-52.64556125,-18.32885569
ATG,John Deere,Iguacu Maquinas,-53.52898021,-16.9193452
MTV,John Deere,Iguacu Maquinas,-51.17297211,-17.32702029
JTI,John Deere,Iguacu Maquinas,-51.68903972,-17.81477935
STN,John Deere,Iguacu Maquinas,-54.22437147,-13.19109325
JTI ,John Deere,Iguacu Maquinas,-51.75491764,-17.86459045
JALES,John Deere,ITAETE,-50.5472056,-20.26896126
JTI,Jacto,JactoJatai,-51.66910312,-17.80836449
GOIATUBA,John Deere,Maqnelson,-49.34033506,-17.85315475
QUIRINOPOLIS,John Deere,Maqnelson,-50.44389872,-18.44921783
MARACAJU,New Holland,MATRA MAQS,-55.15475809,-21.63147689
DOURADOS,New Holland,MATRA MAQS,-54.9378437,-22.2416434
DIAMANTINO,Case,Maxxicase,-56.39150805,-14.37818798
TANGARA DA SERRA,Case,Maxxicase,-57.52345629,-14.6336707
CHS,Massey Ferguson,Mosena,-52.64028704,-18.77422312
SON,Massey Ferguson,Mosena,-54.5293028,-19.27476609
TRL,Massey Ferguson,Mosena,-54.58433583,-20.20206832
CHC,New Holland,MS Agr cola,-52.61878011,-18.28029666
CAMPO GRANDE,New Holland,MS Equipamentos,-54.58702604,-20.42206912
